H_bits_per_token,V_millions_tokens,Mean_Psi_e11,Std_Psi_e11,CV_percent,CI_lower_e11,CI_upper_e11,Domain_Interpretation,Corpus_Size_Example
# Mathematics (H ≈ 3.0, V ≈ 1M):
#   - Recalibrate: Psi_math ≈ 1.91 × 10^-11 (50% higher)
#   - High entropy reflects formal notation and proof structure
#   - Applicable to: MATH, GSM8K, theorem proving
#
# Multimodal (H ≈ ?, V ≈ ?):
#   - Open research question
#   - Requires defining token-level entropy for vision/audio
#   - May need architecture-specific Psi for cross-modal attention

# SENSITIVITY TO ARCHITECTURAL PARAMETERS
# ========================================
# Current analysis assumes L, E, N, D are exact (δL/L = δE/E = 0%)
# In practice:
#   - Layer count (L): Exact from architecture specification
#   - Embedding dim (E): Exact from architecture specification
#   - Parameter count (N): ±5% uncertainty from:
#       * Tied embeddings (input/output)
#       * Layer normalization details
#       * Bias terms inclusion
#   - Training data (D): ±10% uncertainty from:
#       * Tokenization method (BPE, SentencePiece, WordPiece)
#       * Deduplication strategies
#       * Checkpoint selection (not always final convergence)
#
# These uncertainties are smaller than H and V, but non-negligible

# COMPARISON WITH ALTERNATIVE INVARIANT FORMS
# ============================================
# Psi_1 (used): Psi = (L×E×H×V)/(N×D)
#   - CV = 16.5% (compute-optimal models)
#   - Physical motivation: Processing depth normalization
#
# Psi_2 (rejected): Psi = (L×E²×H×V)/(N×D)
#   - CV = 20.2% (higher variance)
#   - Motivation: FLOP-based normalization (E² from attention)
#   - Rejected: No improvement in stability vs. added complexity
#
# Psi_3 (rejected): Psi = (L×E×H×V)/(N×D^0.5)
#   - CV = 27.1% (highest variance)
#   - Motivation: Fractional data scaling
#   - Rejected: Lacks theoretical justification, worse empirical fit

# IMPLICATIONS FOR RESOURCE PLANNING
# ===================================
# Conservative approach (H = 2.2, V = 1.3M):
#   - Use Psi_LLM = 1.81 × 10^-11 (upper bound)
#   - Predicts LOWER D_max → saves computational resources
#   - Risk: May undertrain if actual domain has H < 2.2
#
# Aggressive approach (H = 1.8, V = 0.7M):
#   - Use Psi_LLM = 0.80 × 10^-11 (lower bound)
#   - Predicts HIGHER D_max → requires more data
#   - Risk: Wastes resources if domain has H > 1.8
#
# Recommended approach:
#   1. Measure validation perplexity on target domain
#   2. Calculate H = log2(PPL_val) directly
#   3. Choose V = 10^6 as baseline (adjust for stability)
#   4. Use ±32% uncertainty bounds for planning buffers

# FUTURE VALIDATION PRIORITIES
# =============================
# 1. Direct entropy measurement: Calculate H from actual validation losses
# 2. Corpus size optimization: Determine minimal V for stable Psi estimation
# 3. Domain-specific invariants: Test Psi stability on code/math benchmarks
# 4. Architectural extensions: Validate on MoE, SSM, RWKV architectures
# 5. Dynamic tracking: Measure G_S(C)(t) evolution during training

# DATA SOURCES
# ============
# Base models: results/psi_values.csv (Chinchilla, PaLM, LLaMA-65B)
# Calculation: scripts/sensitivity_analysis.py
# Statistical method: Grid search over (H, V) with fixed model parameters

# VERSION HISTORY
# ===============
# v2.1 (2025-11-14): Extended grid to 9 parameter combinations
#                    Added domain calibration recommendations
# v2.0 (2025-11-13): Initial sensitivity analysis (5 combinations)
# v1.0 (2025-11-12): Pilot uncertainty quantification

# REPRODUCIBILITY
# ===============
# Python code: scripts/sensitivity_analysis.py --grid
# Visualization: scripts/sensitivity_analysis.py --plot
# Tests: tests/test_calculations.py::TestSensitivity
# Repository: https://github.com/designhumanai/liics
